MedInc,HouseAge,Population,AveOccup,Latitude,Longitude,RoomToBedroomRatio,MedHouseVal
8.3252,41.0,322.0,2.5555555555555554,37.88,-122.23,6.82170542635659,4.526
8.3014,21.0,2401.0,2.109841827768014,37.86,-122.22,6.418625678119349,3.585
7.2574,52.0,496.0,2.8022598870056497,37.85,-122.24,7.721052631578947,3.521
5.6431,52.0,558.0,2.547945205479452,37.85,-122.25,5.421276595744681,3.413
3.8462,52.0,565.0,2.1814671814671813,37.85,-122.25,5.810714285714285,3.422
4.0368,52.0,413.0,2.139896373056995,37.85,-122.25,4.314553990610329,2.697
3.6591,52.0,1094.0,2.1284046692607004,37.84,-122.25,5.184049079754602,2.992
3.12,52.0,1157.0,1.7882534775888717,37.84,-122.25,4.518195050946143,2.414
2.0804,42.0,1206.0,2.026890756302521,37.84,-122.26,3.8421052631578947,2.267
3.6912,52.0,1551.0,2.172268907563025,37.84,-122.25,5.01980198019802,2.611
3.2031,52.0,910.0,2.263681592039801,37.85,-122.26,5.073732718894009,2.815
3.2705,52.0,1504.0,2.0490463215258856,37.85,-122.26,4.658244680851063,2.418
3.075,52.0,1098.0,2.3461538461538463,37.85,-122.26,5.255274261603375,2.135
2.6736,52.0,345.0,1.9827586206896552,37.84,-122.26,3.6439790575916233,1.913
1.9167,52.0,1212.0,1.9548387096774194,37.85,-122.26,4.222044728434504,1.592
2.125,50.0,697.0,2.640151515151515,37.85,-122.26,3.957597173144876,1.4
2.775,52.0,793.0,2.395770392749245,37.85,-122.27,5.665706051873198,1.525
2.1202,52.0,648.0,2.1386138613861387,37.85,-122.27,4.1911262798634805,1.555
1.9911,50.0,990.0,2.3627684964200477,37.84,-122.26,4.920879120879121,1.587
2.6033,52.0,690.0,2.5090909090909093,37.84,-122.27,5.043624161073826,1.629
1.3578,40.0,409.0,2.463855421686747,37.85,-122.27,4.081521739130435,1.475
1.7135,42.0,929.0,2.5382513661202184,37.85,-122.27,4.465940054495913,1.598
1.725,52.0,1015.0,2.1234309623430963,37.84,-122.27,4.502772643253235,1.139
2.1806,52.0,853.0,2.624615384615385,37.84,-122.27,5.008902077151336,0.997
2.6,52.0,1006.0,2.3838862559241707,37.84,-122.27,5.089244851258581,1.326
2.4038,41.0,317.0,2.6638655462184873,37.85,-122.28,4.349593495934959,1.075
2.4597,49.0,607.0,2.5397489539748954,37.85,-122.28,4.631147540983607,0.938
1.808,52.0,1102.0,2.7758186397984885,37.85,-122.28,4.508313539192399,1.055
1.6424,50.0,1131.0,2.3911205073995774,37.84,-122.28,4.2317073170731705,1.089
1.6875,52.0,395.0,2.5483870967741935,37.84,-122.28,4.55625,1.32
1.9274,49.0,863.0,2.2830687830687832,37.84,-122.28,4.286353467561521,1.223
1.9615,52.0,1168.0,2.6485260770975056,37.84,-122.28,4.476091476091476,1.152
1.7969,48.0,1026.0,3.062686567164179,37.84,-122.27,4.699266503667482,1.104
1.375,49.0,754.0,2.291793313069909,37.83,-122.27,4.521857923497268,1.049
2.7303,51.0,1258.0,2.3470149253731343,37.83,-122.27,4.642857142857143,1.097
1.4861,49.0,570.0,2.159090909090909,37.83,-122.27,4.308510638297872,0.972
